incident_id,crime_category,incident_date,incident_time,district,latitude,longitude,street_name,priority,status,reported_by,resolved_date,officers_assigned,damage_estimate_eur,witnesses_count,evidence_items
AZ-2023-000014,Körperverletzung,2023-09-28,23:59,Höchst,50.100081,8.729355,Janet-Mies-Weg,Niedrig,Eingestellt,Notruf,2024-07-26,3,23351.23,5,1
AZ-2023-000015,Drogendelikt,2023-07-21,01:25,Zeilsheim,50.059758,8.534389,Xenia-Kostolzin-Gasse,Mittel,Abgeschlossen,Patrouille,2023-09-21,4,0.0,0,14
AZ-2023-000016,Drogendelikt,2023-07-20,01:41,Hausen,50.189419,8.775848,Schottinstr.,Dringend,Gerichtlich,Notruf,2023-08-03,2,45122.14,1,12
AZ-2025-000017,Bedrohung,2023-01-05,12:16,Harheim,50.066345,8.700482,Rustplatz,Dringend,Gerichtlich,Opfer,2023-09-01,2,0.0,0,1
AZ-2025-000018,Körperverletzung,2024-10-04,01:03,Westend-Süd,50.18049,8.646209,Bartholomäus-Speer-Platz,Mittel,Abgeschlossen,Zeuge,2025-06-25,1,11760.19,0,7
AZ-2023-000019,Beleidigung,2023-03-23,19:05,Praunheim,50.116741,8.575769,Budigallee,Hoch,Abgeschlossen,Opfer,2024-01-22,3,33584.51,2,14
AZ-2025-000020,Einbruchdiebstahl,2024-10-09,02:00,Griesheim,50.194297,8.49603,Nuran-Ditschlerin-Straße,Mittel,Abgeschlossen,Patrouille,2025-07-31,1,18476.35,1,14
AZ-2023-000021,Einbruchdiebstahl,2024-09-11,19:51,Nordend-Ost,50.135215,8.65391,Metzweg,Niedrig,Abgeschlossen,Zeuge,2024-09-22,2,0.0,4,6
AZ-2023-000022,Beleidigung,2024-12-03,06:43,Westend-Süd,50.105974,8.554368,Fröhlichring,Dringend,Abgeschlossen,Patrouille,2025-04-24,1,0.0,1,8
AZ-2025-000023,Diebstahl,2023-11-27,23:28,Sachsenhausen-Nord,50.115963,8.508695,Häringweg,Hoch,Abgeschlossen,Anonym,2024-07-09,2,2091.44,2,1
AZ-2025-000024,Bedrohung,2025-01-02,06:43,Höchst,50.033503,8.727878,Tintzmannweg,Mittel,Ermittlung läuft,Opfer,,2,40538.59,3,0
AZ-2024-000025,Betrug,2024-01-03,23:59,Hausen,50.182547,8.735133,Eileen-Schuster-Platz,Niedrig,Ermittlung läuft,Notruf,,1,11121.69,3,11
AZ-2024-000026,Raub,2024-09-17,07:14,Westend-Nord,50.049763,8.57967,Gottlieb-Misicher-Straße,Dringend,Ermittlung läuft,Anonym,,3,5767.09,2,5
AZ-2025-000027,Körperverletzung,2024-06-27,01:06,Seckbach,50.146138,8.574886,Schwitalweg,Dringend,Abgeschlossen,Anonym,2024-12-27,2,0.0,5,13
AZ-2024-000028,Drogendelikt,2023-01-04,16:59,Gallus,50.144497,8.71536,Hedy-Junk-Gasse,Niedrig,Eingestellt,Patrouille,2023-12-28,3,6231.27,2,9
AZ-2025-000029,Bedrohung,2025-04-16,10:25,Berkersheim,50.037912,8.609906,Marie-Beckmann-Ring,Mittel,Abgeschlossen,Anonym,2026-01-31,3,41686.26,2,9
AZ-2025-000030,Verkehrsdelikt,2024-03-06,13:50,Griesheim,50.073005,8.616906,Heusergasse,Mittel,Abgeschlossen,Zeuge,2025-02-11,3,31647.04,2,2
AZ-2024-000031,Erpressung,2024-04-26,21:19,Hausen,50.050843,8.480012,Sigrid-Rosenow-Allee,Niedrig,Ermittlung läuft,Notruf,,4,28783.54,5,12
AZ-2024-000032,Sachbeschädigung,2025-10-09,12:15,Nordend-Ost,50.138772,8.764792,Hahnweg,Mittel,Ermittlung läuft,Anonym,,4,0.0,1,3
AZ-2025-000033,Computerbetrug,2025-07-23,04:51,Zeilsheim,50.192821,8.667308,Krokerweg,Dringend,Abgeschlossen,Anonym,2026-04-27,4,37182.77,3,14
AZ-2023-000034,Bedrohung,2024-06-14,07:53,Zeilsheim,50.102227,8.550473,Fechnerring,Hoch,Abgeschlossen,Opfer,2025-03-14,3,44651.34,0,4
AZ-2024-000035,Drogendelikt,2023-11-05,07:24,Kalbach-Riedberg,50.026561,8.605693,Istvan-Weinhage-Weg,Niedrig,Abgeschlossen,Opfer,2024-02-29,4,38489.79,5,0
AZ-2025-000036,Bedrohung,2025-02-18,15:00,Höchst,50.150626,8.751931,Weinholdstr.,Mittel,Gerichtlich,Notruf,2025-07-27,2,0.0,3,0
AZ-2025-000037,Unterschlagung,2025-03-07,10:42,Bornheim,50.145353,8.747686,Säuberlichstraße,Niedrig,Abgeschlossen,Notruf,2025-10-07,1,0.0,3,4
AZ-2024-000038,Einbruchdiebstahl,2025-08-03,05:03,Eckenheim,50.073923,8.621141,Hartmannplatz,Dringend,Ermittlung läuft,Patrouille,,1,37451.21,0,11
AZ-2023-000039,Computerbetrug,2024-04-04,20:04,Hausen,50.022246,8.482178,Conradiallee,Niedrig,Eingestellt,Anonym,2025-03-10,2,0.0,3,3
AZ-2023-000040,Einbruchdiebstahl,2024-03-22,14:44,Ostend,50.081401,8.670733,Natascha-Dörschner-Platz,Niedrig,Ermittlung läuft,Anonym,,1,28789.84,3,12
AZ-2025-000041,Erpressung,2024-02-11,02:37,Dornbusch,50.058713,8.700679,Ljiljana-Stiffel-Straße,Niedrig,Abgeschlossen,Anonym,2025-01-04,1,21418.9,2,2
AZ-2024-000042,Beleidigung,2025-11-02,20:21,Unterliederbach,50.090611,8.632786,Raymond-Kranz-Weg,Dringend,Ermittlung läuft,Opfer,,4,0.0,4,8
AZ-2024-000043,Hausfriedensbruch,2025-09-17,14:27,Nordend-West,50.063311,8.751362,Rädelring,Dringend,Eingestellt,Opfer,2026-07-24,4,33409.42,2,0
AZ-2025-000044,Hausfriedensbruch,2025-10-09,10:11,Seckbach,50.15861,8.583631,Hanne-Ullmann-Gasse,Hoch,Abgeschlossen,Anonym,2026-04-15,1,9552.82,1,13
AZ-2023-000045,Körperverletzung,2025-09-27,17:48,Zeilsheim,50.100697,8.705484,Wilmsenweg,Hoch,Ermittlung läuft,Opfer,,4,15310.3,4,11
AZ-2025-000046,Verkehrsdelikt,2025-08-27,17:33,Preungesheim,50.194394,8.652527,Dowergring,Hoch,Ermittlung läuft,Patrouille,,3,0.0,5,6
AZ-2024-000047,Bedrohung,2024-10-08,03:47,Nied,50.048327,8.542974,Frankestraße,Hoch,Abgeschlossen,Zeuge,2025-10-03,2,0.0,2,5
AZ-2025-000048,Betrug,2024-09-11,00:45,Ginnheim,50.023193,8.489885,Ute-Ullmann-Allee,Dringend,Abgeschlossen,Zeuge,2025-02-05,1,23469.85,3,10
AZ-2023-000049,Erpressung,2024-01-13,01:16,Schwanheim,50.035536,8.493433,Ottoallee,Niedrig,Gerichtlich,Opfer,2024-09-20,2,47456.28,0,7
AZ-2024-000050,Verkehrsdelikt,2023-08-31,17:48,Nieder-Erlenbach,50.157333,8.546025,Ana-Döring-Allee,Dringend,Abgeschlossen,Patrouille,2024-07-08,4,31051.37,4,3
AZ-2023-000051,Betrug,2024-03-01,20:13,Harheim,50.029614,8.550676,Schwitalstr.,Niedrig,Ermittlung läuft,Notruf,,4,23495.62,0,7
AZ-2025-000052,Erpressung,2024-08-13,22:18,Praunheim,50.027812,8.548563,Gerhardt-Köster-Platz,Mittel,Abgeschlossen,Notruf,2025-04-09,1,32381.74,2,4
AZ-2024-000053,Körperverletzung,2023-05-27,01:10,Ginnheim,50.149812,8.6587,Dorina-Junitz-Straße,Dringend,Eingestellt,Patrouille,2024-04-02,4,25023.61,3,14
AZ-2025-000054,Computerbetrug,2023-06-14,19:02,Rödelheim,50.123668,8.480484,Engin-Klotz-Ring,Niedrig,Eingestellt,Patrouille,2023-12-03,1,8759.54,4,14
AZ-2024-000055,Raub,2024-07-23,05:37,Höchst,50.18943,8.626163,Bogdan-Hendriks-Weg,Niedrig,Abgeschlossen,Opfer,2025-04-07,3,24773.45,5,12
AZ-2025-000056,Computerbetrug,2023-03-17,14:05,Fechenheim,50.073189,8.790221,Detlev-Wagenknecht-Straße,Niedrig,Ermittlung läuft,Anonym,,4,9379.13,2,15
AZ-2023-000057,Diebstahl,2025-06-24,01:13,Schwanheim,50.038582,8.566474,Zofia-Wesack-Weg,Mittel,Ermittlung läuft,Opfer,,3,27612.57,0,7
AZ-2025-000058,Einbruchdiebstahl,2023-08-21,14:07,Sossenheim,50.104708,8.707046,Fernando-Sorgatz-Straße,Dringend,Abgeschlossen,Notruf,2023-11-14,4,0.0,4,4
AZ-2024-000059,Hausfriedensbruch,2025-02-24,06:58,Höchst,50.170525,8.562609,Joseph-Rädel-Weg,Hoch,Abgeschlossen,Zeuge,2025-05-11,3,41873.8,4,15
AZ-2024-000060,Computerbetrug,2023-11-01,14:34,Sindlingen,50.114345,8.650245,Hahnstr.,Mittel,Abgeschlossen,Opfer,2024-04-26,4,0.0,3,1
AZ-2024-000061,Diebstahl,2024-10-13,23:30,Sachsenhausen-Nord,50.084494,8.68969,Ingried-Jockel-Straße,Mittel,Abgeschlossen,Anonym,2025-05-03,3,43709.52,3,3
AZ-2024-000062,Urkundenfälschung,2025-07-24,00:46,Westend-Nord,50.171768,8.790146,Mangoldstr.,Hoch,Ermittlung läuft,Patrouille,,4,42588.26,5,12
AZ-2023-000063,Beleidigung,2024-10-10,20:45,Westend-Nord,50.172029,8.483775,Dussen vanplatz,Hoch,Eingestellt,Opfer,2025-06-23,1,4922.16,5,3
AZ-2024-000064,Raub,2025-06-27,05:44,Westend-Süd,50.020211,8.578395,Carlo-Kambs-Gasse,Hoch,Ermittlung läuft,Notruf,,2,0.0,3,5
AZ-2023-000065,Sachbeschädigung,2023-12-15,05:05,Bergen-Enkheim,50.126548,8.550992,Dajana-Hartmann-Gasse,Dringend,Abgeschlossen,Patrouille,2024-07-04,4,0.0,0,14
AZ-2024-000066,Beleidigung,2024-08-12,21:34,Bergen-Enkheim,50.094511,8.585346,Imke-Schüler-Gasse,Dringend,Ermittlung läuft,Patrouille,,4,9960.85,3,15
AZ-2025-000067,Drogendelikt,2023-08-07,07:24,Innenstadt,50.068257,8.701364,Cengiz-Beckmann-Ring,Hoch,Abgeschlossen,Zeuge,2024-06-03,1,37258.61,2,7
AZ-2025-000068,Körperverletzung,2024-12-22,07:40,Bornheim,50.060113,8.719829,Anita-Hellwig-Ring,Niedrig,Ermittlung läuft,Patrouille,,4,0.0,2,4
AZ-2025-000069,Unterschlagung,2023-07-04,09:20,Bonames,50.051143,8.729976,Hamannstr.,Hoch,Abgeschlossen,Opfer,2023-10-08,3,47209.39,2,10
AZ-2025-000070,Raub,2023-08-24,14:04,Fechenheim,50.18897,8.754126,Isabel-Rudolph-Weg,Niedrig,Ermittlung läuft,Notruf,,1,0.0,0,14
AZ-2023-000071,Beleidigung,2025-01-24,21:47,Bonames,50.083585,8.681444,Henkallee,Mittel,Abgeschlossen,Notruf,2025-11-26,1,47158.46,2,7
AZ-2023-000072,Diebstahl,2023-05-10,20:52,Bornheim,50.069394,8.605921,Ladeckplatz,Hoch,Abgeschlossen,Notruf,2024-05-09,1,0.0,4,4
AZ-2024-000073,Beleidigung,2025-03-06,14:23,Sachsenhausen-Nord,50.185275,8.609474,Dusan-Sorgatz-Straße,Niedrig,Abgeschlossen,Notruf,2026-03-04,4,13987.01,5,11
AZ-2025-000074,Raub,2024-03-20,14:28,Kalbach-Riedberg,50.032884,8.696903,Löchelstraße,Niedrig,Gerichtlich,Notruf,2024-09-28,3,0.0,0,14
AZ-2023-000075,Betrug,2023-07-07,21:13,Eckenheim,50.189797,8.48859,Vollbrechtgasse,Mittel,Abgeschlossen,Zeuge,2024-05-14,2,40652.65,1,10
AZ-2024-000076,Urkundenfälschung,2023-10-30,19:00,Kalbach-Riedberg,50.192125,8.795909,Burghard-Kusch-Allee,Mittel,Ermittlung läuft,Zeuge,,1,0.0,2,7
AZ-2025-000077,Körperverletzung,2024-10-25,00:11,Ostend,50.037817,8.610075,Dörrplatz,Dringend,Ermittlung läuft,Notruf,,3,5452.7,4,7
AZ-2023-000078,Verkehrsdelikt,2023-03-30,23:50,Innenstadt,50.108861,8.622238,Hans-Hermann-Reising-Straße,Dringend,Gerichtlich,Notruf,2024-03-08,1,45485.04,0,2
AZ-2025-000079,Raub,2024-10-21,19:09,Harheim,50.064503,8.679649,Sigfried-Gnatz-Ring,Dringend,Ermittlung läuft,Anonym,,3,30271.34,0,3
AZ-2025-000080,Körperverletzung,2024-03-16,13:28,Höchst,50.076008,8.620748,Heringallee,Hoch,Eingestellt,Notruf,2024-10-20,3,18715.05,1,15
AZ-2023-000081,Unterschlagung,2023-05-18,02:53,Bonames,50.092738,8.716225,Thorsten-Rogner-Gasse,Niedrig,Ermittlung läuft,Anonym,,3,20540.43,5,13
AZ-2025-000082,Verkehrsdelikt,2023-04-16,09:38,Sachsenhausen-Nord,50.033648,8.638431,Gaby-Reuter-Gasse,Mittel,Ermittlung läuft,Zeuge,,3,18378.05,2,7
AZ-2025-000083,Computerbetrug,2025-05-28,17:49,Seckbach,50.136496,8.654611,Susan-Weller-Platz,Hoch,Eingestellt,Zeuge,2026-04-14,2,0.0,2,10
AZ-2023-000084,Körperverletzung,2024-12-19,00:11,Frankfurter Berg,50.133322,8.494824,Rudolf-Neureuther-Straße,Mittel,Eingestellt,Notruf,2025-10-11,4,7870.46,2,10
AZ-2024-000085,Beleidigung,2023-06-23,01:09,Niederursel,50.126211,8.693062,Nina-Kühnert-Gasse,Dringend,Ermittlung läuft,Notruf,,4,10778.45,4,3
AZ-2023-000086,Sachbeschädigung,2024-12-07,13:07,Dornbusch,50.137128,8.631616,Rafael-Adler-Straße,Dringend,Ermittlung läuft,Anonym,,1,0.0,2,6
AZ-2023-000087,Drogendelikt,2023-10-09,08:18,Bockenheim,50.016391,8.717021,Ziegertallee,Mittel,Ermittlung läuft,Anonym,,3,0.0,5,1
AZ-2024-000088,Einbruchdiebstahl,2025-06-12,00:29,Frankfurter Berg,50.118637,8.660075,Hörlestraße,Niedrig,Gerichtlich,Notruf,2025-11-26,1,8593.66,4,14
AZ-2024-000089,Computerbetrug,2025-01-11,02:27,Nordend-West,50.093422,8.603348,Försterplatz,Hoch,Eingestellt,Patrouille,2025-05-22,2,8406.64,4,3
AZ-2023-000090,Körperverletzung,2025-11-10,06:57,Sachsenhausen-Nord,50.145928,8.740615,Harloffgasse,Mittel,Eingestellt,Patrouille,2026-05-15,2,0.0,1,2
AZ-2025-000091,Beleidigung,2023-12-29,20:31,Nieder-Eschbach,50.151778,8.619241,Karen-Johann-Gasse,Hoch,Abgeschlossen,Patrouille,2024-10-19,2,23446.05,5,9
AZ-2023-000092,Raub,2024-07-16,18:03,Bahnhofsviertel,50.028354,8.623452,Corinna-Müller-Weg,Hoch,Ermittlung läuft,Zeuge,,1,25353.39,3,1
AZ-2024-000093,Körperverletzung,2025-07-10,18:41,Westend-Süd,50.123901,8.636448,Björn-Pechel-Gasse,Hoch,Ermittlung läuft,Zeuge,,2,0.0,5,14
AZ-2024-000094,Beleidigung,2025-06-18,16:33,Höchst,50.082113,8.564789,Charles-Scheibe-Gasse,Niedrig,Abgeschlossen,Patrouille,2025-12-28,1,27898.16,3,9
AZ-2025-000095,Betrug,2024-05-31,23:54,Bergen-Enkheim,50.17219,8.581343,Ronald-Dussen van-Weg,Hoch,Abgeschlossen,Patrouille,2025-04-11,4,0.0,5,2
AZ-2023-000096,Beleidigung,2024-09-26,17:24,Nieder-Erlenbach,50.161373,8.691798,Clara-Scheibe-Gasse,Dringend,Abgeschlossen,Anonym,2025-03-20,3,0.0,2,5
AZ-2023-000097,Unterschlagung,2024-03-14,10:49,Ginnheim,50.194996,8.522822,Siegbert-Sontag-Weg,Niedrig,Abgeschlossen,Patrouille,2024-07-14,2,7712.64,1,5
AZ-2024-000098,Urkundenfälschung,2025-06-15,01:26,Riederwald,50.144525,8.790025,Heßplatz,Dringend,Ermittlung läuft,Opfer,,2,40431.19,3,6
AZ-2025-000099,Drogendelikt,2025-01-23,21:36,Sossenheim,50.153499,8.727225,Henckring,Mittel,Gerichtlich,Opfer,2025-09-23,2,2608.99,3,11
AZ-2024-000100,Hausfriedensbruch,2023-07-30,22:54,Niederursel,50.066311,8.722302,Eigenwilligweg,Mittel,Abgeschlossen,Notruf,2023-10-08,1,11101.9,3,11
AZ-2024-000101,Sachbeschädigung,2023-02-24,13:03,Nordend-West,50.082313,8.598662,Mielcarekring,Niedrig,Ermittlung läuft,Patrouille,,1,32498.03,1,4
AZ-2024-000102,Erpressung,2023-03-20,09:58,Nied,50.1646,8.7209,Alberto-Mielcarek-Weg,Niedrig,Eingestellt,Zeuge,2024-03-17,1,0.0,1,13
AZ-2024-000103,Körperverletzung,2023-08-16,09:15,Riederwald,50.023595,8.609703,Claus-Dieter-Renner-Platz,Niedrig,Ermittlung läuft,Notruf,,1,28752.37,5,4
AZ-2025-000104,Raub,2024-08-19,13:00,Nordend-West,50.117719,8.533439,Eigenwilligring,Niedrig,Abgeschlossen,Anonym,2024-12-27,1,23506.75,5,12
AZ-2023-000105,Urkundenfälschung,2025-02-03,08:47,Frankfurter Berg,50.156934,8.585095,Rabea-Henschel-Ring,Hoch,Ermittlung läuft,Opfer,,1,16927.36,5,5
AZ-2023-000106,Einbruchdiebstahl,2025-08-09,22:30,Sindlingen,50.026358,8.72659,Frankestraße,Mittel,Abgeschlossen,Zeuge,2025-10-24,2,15779.79,2,12
AZ-2025-000107,Raub,2025-08-27,08:02,Westend-Süd,50.0665,8.754781,Schmidtkeallee,Hoch,Eingestellt,Zeuge,2025-12-09,3,20001.09,3,12
AZ-2025-000108,Drogendelikt,2024-11-25,05:31,Nordend-West,50.181376,8.642322,Gloria-Röhrdanz-Ring,Niedrig,Abgeschlossen,Notruf,2025-06-08,2,16060.57,0,10
AZ-2023-000109,Bedrohung,2024-08-28,09:28,Zeilsheim,50.044996,8.617602,Tatjana-Eimer-Ring,Hoch,Abgeschlossen,Anonym,2025-04-10,4,0.0,0,2
AZ-2025-000110,Urkundenfälschung,2025-04-11,11:32,Seckbach,50.043798,8.482214,Romana-Döring-Allee,Dringend,Eingestellt,Zeuge,2026-03-31,2,0.0,5,11
AZ-2024-000111,Verkehrsdelikt,2025-01-11,12:36,Bonames,50.042619,8.619575,Jörgen-Holzapfel-Weg,Niedrig,Ermittlung läuft,Anonym,,2,19901.7,5,8
AZ-2024-000112,Urkundenfälschung,2024-05-26,03:01,Ostend,50.108194,8.771642,Iris-Karz-Platz,Hoch,Abgeschlossen,Notruf,2025-02-12,2,14278.84,3,6
AZ-2025-000113,Computerbetrug,2023-09-09,04:54,Nordend-West,50.046078,8.705985,Pärtzeltstraße,Hoch,Ermittlung läuft,Patrouille,,1,14518.11,2,5
AZ-2024-000114,Diebstahl,2023-12-23,11:32,Hausen,50.192324,8.731798,Birnbaumgasse,Hoch,Ermittlung läuft,Anonym,,3,49150.6,1,2
AZ-2023-000115,Betrug,2023-05-15,09:25,Nieder-Eschbach,50.109625,8.724286,Hofmanngasse,Hoch,Gerichtlich,Zeuge,2024-01-22,4,25868.0,1,5
AZ-2023-000116,Betrug,2023-09-22,13:32,Dornbusch,50.16465,8.641937,Meinolf-Winkler-Platz,Hoch,Gerichtlich,Opfer,2023-10-27,3,25944.89,2,2
AZ-2023-000117,Unterschlagung,2024-05-28,06:40,Kalbach-Riedberg,50.037531,8.571326,Fritschweg,Mittel,Gerichtlich,Anonym,2024-10-22,2,0.0,4,10
AZ-2025-000118,Drogendelikt,2023-03-26,00:05,Griesheim,50.130462,8.661181,Rohlederweg,Niedrig,Ermittlung läuft,Notruf,,3,15104.71,1,12
AZ-2024-000119,Erpressung,2024-09-01,14:04,Griesheim,50.094129,8.630834,Rörrichtgasse,Mittel,Abgeschlossen,Patrouille,2024-11-27,3,43038.87,3,4
AZ-2023-000120,Betrug,2025-01-28,16:35,Zeilsheim,50.058513,8.512187,Constantin-Stumpf-Platz,Niedrig,Ermittlung läuft,Zeuge,,3,43208.19,3,7
AZ-2024-000121,Verkehrsdelikt,2023-11-24,10:59,Sossenheim,50.04917,8.524264,Martha-Koch II-Weg,Hoch,Abgeschlossen,Notruf,2024-05-09,1,0.0,3,14
AZ-2024-000122,Unterschlagung,2024-05-08,06:37,Nied,50.024097,8.634325,Stefano-Eckbauer-Gasse,Niedrig,Ermittlung läuft,Zeuge,,4,0.0,2,11
AZ-2023-000123,Drogendelikt,2025-04-05,11:02,Ginnheim,50.116127,8.590908,Knappeallee,Dringend,Abgeschlossen,Anonym,2026-01-28,3,31162.08,4,3
AZ-2023-000124,Sachbeschädigung,2023-09-21,03:25,Bonames,50.192622,8.654969,Roswitha-Klemt-Platz,Dringend,Ermittlung läuft,Anonym,,1,0.0,1,10
AZ-2024-000125,Betrug,2025-08-28,16:29,Riederwald,50.175764,8.517848,Gitte-Dobes-Ring,Dringend,Ermittlung läuft,Anonym,,3,25365.75,4,15
AZ-2025-000126,Einbruchdiebstahl,2024-09-05,15:52,Höchst,50.074623,8.50795,Schollweg,Niedrig,Ermittlung läuft,Anonym,,4,0.0,5,7
AZ-2023-000127,Computerbetrug,2023-04-16,18:30,Berkersheim,50.128225,8.675273,Stephanie-Hellwig-Platz,Mittel,Ermittlung läuft,Zeuge,,1,0.0,3,10
AZ-2025-000128,Bedrohung,2025-05-07,04:26,Nied,50.105328,8.672565,Ramona-Lehmann-Gasse,Niedrig,Abgeschlossen,Opfer,2025-12-10,2,49906.14,3,12
AZ-2025-000129,Verkehrsdelikt,2024-10-04,05:29,Praunheim,50.113329,8.693685,Jennifer-Kade-Straße,Mittel,Gerichtlich,Opfer,2025-04-04,3,11243.35,2,9
AZ-2024-000130,Körperverletzung,2024-02-29,22:45,Niederursel,50.077785,8.778254,Jovan-Freudenberger-Allee,Dringend,Abgeschlossen,Notruf,2024-11-07,3,40230.79,2,1
AZ-2023-000131,Sachbeschädigung,2024-08-12,22:05,Nied,50.094628,8.556114,Ralph-Bender-Straße,Hoch,Ermittlung läuft,Anonym,,3,0.0,4,7
AZ-2024-000132,Bedrohung,2024-05-11,01:42,Höchst,50.12983,8.489217,Hans-Walter-Mies-Ring,Dringend,Gerichtlich,Zeuge,2024-09-10,2,0.0,4,5
AZ-2024-000133,Einbruchdiebstahl,2025-04-13,20:59,Ginnheim,50.100941,8.537422,Heidrichplatz,Niedrig,Eingestellt,Zeuge,2025-12-19,2,36155.88,0,5
AZ-2023-000134,Diebstahl,2025-05-05,05:59,Ginnheim,50.156833,8.53311,Gertrud-Gröttner-Straße,Hoch,Gerichtlich,Anonym,2025-12-01,1,16752.11,3,15
AZ-2025-000135,Einbruchdiebstahl,2023-10-02,16:29,Sindlingen,50.160586,8.580464,Holstenallee,Mittel,Ermittlung läuft,Zeuge,,3,28389.06,1,5
AZ-2024-000136,Raub,2025-04-10,13:32,Bornheim,50.08715,8.503286,Waltrud-Wirth-Ring,Mittel,Ermittlung läuft,Zeuge,,3,22336.78,2,10
AZ-2025-000137,Körperverletzung,2024-09-10,18:46,Westend-Süd,50.132663,8.699228,Segebahnstr.,Dringend,Abgeschlossen,Patrouille,2025-01-28,2,25126.02,5,9
AZ-2024-000138,Betrug,2023-08-29,20:58,Bornheim,50.125633,8.543874,Stiebitzallee,Dringend,Gerichtlich,Anonym,2024-03-11,3,27461.73,3,6
AZ-2023-000139,Hausfriedensbruch,2024-05-21,21:48,Bonames,50.109591,8.645241,Baumgasse,Niedrig,Abgeschlossen,Zeuge,2024-07-08,2,7492.62,2,14
AZ-2024-000140,Betrug,2023-08-27,21:13,Westend-Süd,50.031369,8.639403,Gießstr.,Dringend,Abgeschlossen,Notruf,2024-05-10,1,33638.39,2,0
AZ-2024-000141,Bedrohung,2025-03-21,08:52,Unterliederbach,50.054222,8.495954,Bendergasse,Niedrig,Ermittlung läuft,Anonym,,1,3450.96,3,1
AZ-2024-000142,Hausfriedensbruch,2024-08-10,13:11,Höchst,50.1911,8.683849,Kaulweg,Dringend,Eingestellt,Notruf,2025-07-11,4,34136.52,5,4
AZ-2023-000143,Urkundenfälschung,2024-12-13,03:11,Rödelheim,50.110192,8.710737,Mälzerstr.,Niedrig,Gerichtlich,Patrouille,2025-07-09,4,27222.27,4,12
AZ-2023-000144,Urkundenfälschung,2024-04-15,07:29,Ostend,50.064617,8.779471,Raymond-Rust-Platz,Dringend,Ermittlung läuft,Anonym,,1,0.0,0,3
AZ-2023-000145,Unterschlagung,2023-03-10,14:38,Zeilsheim,50.059052,8.48651,Beyerweg,Mittel,Abgeschlossen,Zeuge,2023-04-10,2,14463.17,5,10
AZ-2023-000146,Unterschlagung,2024-10-18,07:19,Niederursel,50.108825,8.607648,Ackermannstr.,Mittel,Eingestellt,Notruf,2025-09-28,4,0.0,2,12
AZ-2023-000147,Computerbetrug,2024-10-14,22:26,Nied,50.082763,8.719448,Otto-Losekann-Gasse,Mittel,Abgeschlossen,Patrouille,2025-03-23,2,45737.06,4,13
AZ-2024-000148,Computerbetrug,2025-05-03,17:33,Nordend-West,50.058715,8.538694,Scholzring,Hoch,Ermittlung läuft,Zeuge,,2,0.0,3,1
AZ-2024-000149,Hausfriedensbruch,2023-05-30,06:51,Eckenheim,50.115593,8.629241,Irmhild-Jacob-Weg,Niedrig,Eingestellt,Opfer,2024-05-14,2,5865.81,3,7
